Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TCS,EQ,23-Nov-15,2398.35,2405.3,2413.4,2382.25,2389.3,2391.05,2397.62,544041,1304405392,42359,351815,64.67
TCS,EQ,24-Nov-15,2391.05,2380.05,2392.45,2365.5,2366,2367.95,2378.62,499320,1187694596,35776,342427,68.58
TCS,EQ,26-Nov-15,2367.95,2377.9,2382.4,2337.85,2346,2345.55,2355.52,1457646,3433508896,77452,969589,66.52
TCS,EQ,27-Nov-15,2345.55,2348,2359.45,2332.5,2354.95,2353.35,2348.7,868603,2040086164,62719,518858,59.73
TCS,EQ,30-Nov-15,2353.35,2365,2391.25,2350.15,2373.55,2364.7,2365.21,2050024,4848744782,85439,1102521,53.78
TCS,EQ,1-Dec-15,2364.7,2362.9,2378.05,2357.05,2359.75,2361.9,2363.85,860997,2035267110,51511,672976,78.16
TCS,EQ,2-Dec-15,2361.9,2378,2378.1,2346.5,2367,2365.2,2362.86,820148,1937896040,38694,580713,70.81
TCS,EQ,3-Dec-15,2365.2,2360,2373,2347,2350,2350.75,2356.59,1141679,2690467599,41715,765969,67.09
TCS,EQ,4-Dec-15,2350.75,2340,2347.3,2321.1,2330,2328.4,2330.08,623046,1451747348,32999,426970,68.53
TCS,EQ,7-Dec-15,2328.4,2332.2,2343.9,2315.25,2321,2319.8,2322.27,691302,1605390412,52150,487587,70.53
TCS,EQ,8-Dec-15,2319.8,2319.4,2349,2317.3,2326.25,2329,2332.95,569982,1329739196,47957,336913,59.11
TCS,EQ,9-Dec-15,2329,2337.9,2372.8,2320,2370,2367.65,2361.23,2641403,6236953830,59592,1365071,51.68
TCS,EQ,10-Dec-15,2367.65,2369,2391.2,2352,2380.95,2384.55,2374.82,861994,2047084267,52429,556996,64.62
TCS,EQ,11-Dec-15,2384.55,2383,2391.95,2363.25,2383.15,2386,2384.13,826189,1969745818,53651,598804,72.48
TCS,EQ,14-Dec-15,2386,2335.2,2387,2330.6,2375,2378.45,2364.84,1359266,3214443354,58637,758806,55.82
TCS,EQ,15-Dec-15,2378.45,2378.45,2385,2363.05,2379.5,2375.85,2375.03,567934,1348859151,52585,421587,74.23
TCS,EQ,16-Dec-15,2375.85,2384,2414.5,2384,2407.5,2408.4,2402.07,717967,1724609356,48074,494205,68.83
TCS,EQ,17-Dec-15,2408.4,2415,2445,2393.35,2434.1,2439.75,2418.57,809422,1957647078,46818,569320,70.34
TCS,EQ,18-Dec-15,2439.75,2420,2434.2,2400.65,2409.8,2416.8,2416.02,1512485,3654197886,47644,1052042,69.56
TCS,EQ,21-Dec-15,2416.8,2419.95,2450,2406.85,2443,2446.4,2428.4,805052,1954988970,41004,425890,52.9
TCS,EQ,22-Dec-15,2446.4,2440,2440,2400,2407,2405.05,2413.33,780429,1883430363,30995,476137,61.01
TCS,EQ,23-Dec-15,2405.05,2415,2435,2410.55,2418.8,2425.8,2425.06,424917,1030449351,31057,253475,59.65
TCS,EQ,24-Dec-15,2425.8,2421,2438.2,2404,2435,2434.25,2424.03,421580,1021924014,21932,188670,44.75
TCS,EQ,28-Dec-15,2434.25,2428,2466.4,2420.2,2456.95,2462.7,2455,1852099,4546895664,43390,1060100,57.24
TCS,EQ,29-Dec-15,2462.7,2458.35,2465.3,2445.75,2449.35,2455.8,2452.26,854262,2094875087,26975,433986,50.8
